"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"diuron","ecx4param",0.336257154103976,"mu","identity","top",0.712604065,0.695735065,0.72992919075
"diuron","ecx4param",0.336257154103976,"mu","identity","bot",0.018753351,0.009056265585,0.0286800847
"diuron","ecx4param",0.336257154103976,"mu","identity","beta",0.205397895,0.12282793075,0.29014708225
"diuron","ecx4param",0.336257154103976,"mu","identity","ec50",1.84974302681011,1.71820972989104,1.99846638509126
"diuron","ecxwb1",0.197693618007498,"mu","identity","top",0.764429095,0.73988596425,0.791701003
"diuron","ecxwb1",0.197693618007498,"mu","identity","bot",0.040730373,0.033909449575,0.047711568625
"diuron","ecxwb1",0.197693618007498,"mu","identity","beta",-0.29645216,-0.3852576615,-0.21065793325
"diuron","ecxwb1",0.197693618007498,"mu","identity","ec50",2.61789628349337,2.40347366497035,2.83614548019101
"diuron","ecxll3",0.111008724489148,"mu","identity","top",0.729281835,0.7122848745,0.74711332325
"diuron","ecxll3",0.111008724489148,"mu","identity","beta",0.0780882315,0.02695785715,0.1286711275
"diuron","ecxll3",0.111008724489148,"mu","identity","ec50",1.864356549793,1.71171730708092,2.02061702766653
"diuron","ecxwb2p3",0.000365938258958091,"mu","identity","top",0.680391025,0.66642097025,0.6949459155
"diuron","ecxwb2p3",0.000365938258958091,"mu","identity","beta",-0.123514745,-0.17742956,-0.0701373918
"diuron","ecxwb2p3",0.000365938258958091,"mu","identity","ec50",1.29717258990008,1.18471462861147,1.41392280588118
"diuron","ecxwb2",0.000310557251932591,"mu","identity","top",0.67793017,0.663814831,0.692049569
"diuron","ecxwb2",0.000310557251932591,"mu","identity","bot",0.0067091194,0.00112109903,0.0174574513
"diuron","ecxwb2",0.000310557251932591,"mu","identity","beta",-0.0810981235,-0.14970828425,0.00376059600749999
"diuron","ecxwb2",0.000310557251932591,"mu","identity","ec50",1.29989159172126,1.1896510359732,1.41619208072324
"diuron","nec3param",1.7409240492061e-07,"mu","identity","top",0.66888511,0.6550628015,0.68294965725
"diuron","nec3param",1.7409240492061e-07,"mu","identity","beta",-0.37341174,-0.430743052,-0.319437676
"diuron","nec3param",1.7409240492061e-07,"mu","identity","nec",0.661833758288292,0.608043679130527,0.712328573960423
"diuron","nec4param",1.33781886099961e-07,"mu","identity","top",0.668762735,0.65414754825,0.68267487975
"diuron","nec4param",1.33781886099961e-07,"mu","identity","bot",0.0056521946,0.0008676813405,0.0171280925
"diuron","nec4param",1.33781886099961e-07,"mu","identity","beta",-0.340424745,-0.4074870515,-0.2583617055
"diuron","nec4param",1.33781886099961e-07,"mu","identity","nec",0.670100163510685,0.614378082071733,0.722931211687953
"diuron","ecxwb1p3",5.73931508371752e-12,"mu","identity","top",0.8827714,0.831722334,0.94174360575
"diuron","ecxwb1p3",5.73931508371752e-12,"mu","identity","beta",-0.70753817,-0.799622243,-0.6180141085
"diuron","ecxwb1p3",5.73931508371752e-12,"mu","identity","ec50",2.40782455404846,1.98469015170031,2.8696632289643
"diuron","ecxexp",5.16507658270878e-39,"mu","identity","top",0.35307159,0.32833203525,0.3786196985
"diuron","ecxexp",5.16507658270878e-39,"mu","identity","beta",-1.09072495,-1.198787405,-0.99586663525
"hexazinone","ecxll3",0.648605152480863,"mu","identity","top",0.67083641,0.65574755875,0.685989875
"hexazinone","ecxll3",0.648605152480863,"mu","identity","beta",0.34262112,0.26599447875,0.4182054135
"hexazinone","ecxll3",0.648605152480863,"mu","identity","ec50",7.44347269481511,6.82155967811092,8.09560664479342
"hexazinone","ecxll4",0.130334422796212,"mu","identity","top",0.66893678,0.65338707525,0.68406272675
