"comparison","diff.Estimate","diff.Q2.5","diff.Q97.5","x"
"5-30",0.00463326102765768,-0.0282811275789832,0.120740817559279,5.53075605115062
"5-30",0.00952854814789554,-0.0227619355400508,0.124149631789521,5.74495392646785
"5-30",0.0126984539741082,-0.0190689123846845,0.124994175044546,5.95915180178509
"5-30",0.0145468222313871,-0.0170019298567757,0.124613856348937,6.17334967710232
"5-30",0.0151118423342934,-0.016585480297107,0.122608467107197,6.38754755241956
"5-30",0.0147259785874097,-0.0168105317520342,0.119787290962691,6.60174542773679
"5-30",0.0138919000881907,-0.0171326869708862,0.115850768601592,6.81594330305402
"5-30",0.0126637028854525,-0.0177174208237615,0.110954393636436,7.03014117837126
"5-30",0.0112453128754201,-0.0183597907594325,0.106505476619201,7.24433905368849
"5-30",0.00980655560168378,-0.0190928668584215,0.101705106172568,7.45853692900572
"5-30",0.00845245264352981,-0.0194994453607272,0.0971252359324504,7.67273480432296
"5-30",0.00721823517716476,-0.0201842650664409,0.0927090698345357,7.88693267964019
"5-30",0.00611831596601691,-0.0205162441288057,0.0885434917603304,8.10113055495743
"5-30",0.00513919385487923,-0.0209598773445533,0.0848936003055049,8.31532843027466
"5-406",0.0940858915197946,0.0248973285454441,0.181361551432505,-2.1803674602698
"5-406",0.0860861670542516,0.0178984721638034,0.150077299790338,-1.96616958495256
"5-406",0.0753774187493406,0.00817638440775088,0.13690166592009,-1.75197170963533
"5-406",0.0636113489321788,-0.00742301870685396,0.128837189004009,-1.5377738343181
"5-406",0.0525877578988059,-0.0338073418143201,0.120523822174727,-1.32357595900086
"5-406",0.0407931165408169,-0.0666892614085345,0.111799659840448,-1.10937808368363
"5-406",0.0268922009910393,-0.100598198502122,0.102200637855454,-0.895180208366394
"5-406",0.0109848394686403,-0.133295477245266,0.0968164782328548,-0.68098233304916
"5-406",-0.00687353860188977,-0.164657571472268,0.0916001105232176,-0.466784457731926
"5-406",-0.0268158716147422,-0.193871584622215,0.0880417213507894,-0.252586582414692
"5-406",-0.0483851235786585,-0.221253989004667,0.0696628735506766,-0.0383887070974587
"5-406",-0.0725304314905278,-0.246818741249117,0.0160054978459743,0.175809168219775
"5-406",-0.0981154893857162,-0.270103315071636,-0.0318442632238744,0.390007043537009
"5-406",-0.125401137635302,-0.29214609898771,-0.0668053501115421,0.604204918854243
"5-406",-0.154062096072387,-0.312772188471687,-0.0958322714418133,0.818402794171476
"5-406",-0.182868925241675,-0.330662624589683,-0.122596082768401,1.03260066948871
"5-406",-0.211818621955001,-0.345951337384243,-0.148825503307694,1.24679854480594
"5-406",-0.240824368680699,-0.360225507629355,-0.173940151556824,1.46099642012318
"5-406",-0.268926436561748,-0.373489203588611,-0.197173947139041,1.67519429544041
"5-406",-0.295670235470422,-0.3854086412655,-0.217551556139671,1.88939217075764
"5-406",-0.318911999810953,-0.397748324259986,-0.236660647472844,2.10359004607488
"5-406",-0.338554987460449,-0.410060647194756,-0.25372404667345,2.31778792139211
"5-406",-0.352651669484967,-0.419934982922463,-0.267161609591586,2.53198579670935
"5-406",-0.361639197523175,-0.426316418236543,-0.277274837203513,2.74618367202658
"5-406",-0.36485582728192,-0.42893791450592,-0.283079921806437,2.96038154734381
"5-406",-0.362758536179702,-0.426019454206719,-0.281776331093138,3.17457942266105
"5-406",-0.354188615842023,-0.417952157494796,-0.272559866019079,3.38877729797828
"5-406",-0.338850012038613,-0.402445515572156,-0.254738804412324,3.60297517329552
"5-406",-0.316974675864526,-0.379601543048242,-0.227744755868976,3.81717304861275
"5-406",-0.288550474847452,-0.349316046489379,-0.191871842983897,4.03137092392998
"5-406",-0.254397469224019,-0.312572663717582,-0.151661344081317,4.24556879924722
"5-406",-0.215982234148166,-0.270853602410629,-0.108201943432485,4.45976667456445
"5-406",-0.174834748365917,-0.225511887851364,-0.0634351570836478,4.67396454988168
"5-406",-0.13301288272949,-0.179608000039188,-0.0183153822439728,4.88816242519892
"5-406",-0.093572798018325,-0.137119722257092,0.0226661267462021,5.10236030051615
"5-406",-0.0584857608777992,-0.0998125823305045,0.0584453671513277,5.31655817583339
"5-406",-0.0303700214572155,-0.0693814529548699,0.085958907207147,5.53075605115062
"5-406",-0.010519207400845,-0.0469067429668584,0.103015473652251,5.74495392646785
"5-406",0.00137266173425309,-0.0317864175329087,0.112272248698371,5.95915180178509
"5-406",0.00684766760972341,-0.0232656234130686,0.11579049348711,6.17334967710232
"5-406",0.00803172575721395,-0.0201253505898752,0.114351971474663,6.38754755241956
"5-406",0.00677638844855035,-0.0196044709055009,0.110333464266246,6.60174542773679
"5-406",0.00454182562767188,-0.0204041658571974,0.105594439286712,6.81594330305402
"5-406",0.00212819239343897,-0.0212254493988109,0.100311227219845,7.03014117837126
"5-406",-9.37328839226738e-05,-0.0219510101631767,0.095031727495227,7.24433905368849
"5-406",-0.00210561331380908,-0.0225099189359897,0.0898882484187944,7.45853692900572
"5-406",-0.00388338323190816,-0.0231894942407764,0.0848832605260234,7.67273480432296
"5-406",-0.00537817544210663,-0.0237222338634933,0.0802065852138432,7.88693267964019
"5-406",-0.00669749558260749,-0.0240754653508234,0.0759858670329158,8.10113055495743
"5-406",-0.00781931732375255,-0.0244333972721352,0.0719172347701766,8.31532843027466
"30-406",0.0485119640379849,-0.00702674076715012,0.0999888233826882,-2.1803674602698
"30-406",0.0433210559823238,-0.010298991846154,0.0933605438400773,-1.96616958495256
"30-406",0.0374162647505651,-0.0139611702473718,0.0854702011357527,-1.75197170963533
"30-406",0.031109344802671,-0.0182744725904528,0.0774526586198071,-1.5377738343181
"30-406",0.024240889125426,-0.0231463810839519,0.0692015065456266,-1.32357595900086
"30-406",0.0166693010447883,-0.0287656722580238,0.0601272708154917,-1.10937808368363
"30-406",0.00828237627080824,-0.0354332907377199,0.0503765514986072,-0.895180208366394
"30-406",-0.000748585640973576,-0.0429710703427238,0.0402735220942299,-0.68098233304916
"30-406",-0.010625007712103,-0.051279177114325,0.0286734685568363,-0.466784457731926
"30-406",-0.0214256669257263,-0.0608014596987822,0.0172066704038585,-0.252586582414692
"30-406",-0.0331085500771704,-0.070986347905975,0.00551455263269701,-0.0383887070974587
"30-406",-0.045565347807846,-0.0829212104811696,-0.00744582433661475,0.175809168219775
"30-406",-0.0589619932988026,-0.0955927172652898,-0.021247639187876,0.390007043537009
"30-406",-0.073265443537673,-0.109703840134248,-0.0355607109579253,0.604204918854243
"30-406",-0.0884608092065406,-0.124230003376484,-0.0506426197080025,0.818402794171476
