"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"Cu",0.996118918918919,3063.98678640331,1936.76480480834,NA,NA,NA
"Cu",1.00636756756757,3058.09437990337,1931.34465059029,NA,NA,NA
"Cu",1.01661621621622,3050.35147217791,1928.15994454254,NA,NA,NA
"Cu",1.02686486486486,3044.86011781682,1923.97099513862,NA,NA,NA
"Cu",1.03711351351351,3039.12196120697,1920.4372510585,NA,NA,NA
"Cu",1.04736216216216,3034.45195692834,1917.55151480513,NA,NA,NA
"Cu",1.05761081081081,3028.76995330395,1914.81243571196,NA,NA,NA
"Cu",1.06785945945946,3023.346691323,1912.20714623067,NA,NA,NA
"Cu",1.07810810810811,3017.31701941589,1908.64451608423,NA,NA,NA
"Cu",1.08835675675676,3013.51520914436,1903.1844572724,NA,NA,NA
"Cu",1.09860540540541,3009.13071349634,1900.22184724898,NA,NA,NA
"Cu",1.10885405405405,3003.86288739082,1897.67939303971,NA,NA,NA
"Cu",1.1191027027027,2999.79662154265,1895.25405756693,NA,NA,NA
"Cu",1.12935135135135,2995.84688569914,1891.34536906254,NA,NA,NA
"Cu",1.1396,2992.23697738272,1886.17014711116,NA,NA,NA
"Cu",1.14984864864865,2987.62051219268,1883.2899215262,NA,NA,NA
"Cu",1.1600972972973,2985.55899643258,1880.55490817519,NA,NA,NA
"Cu",1.17034594594595,2981.54770035043,1877.45325176806,NA,NA,NA
"Cu",1.18059459459459,2979.1250640812,1876.89826460494,NA,NA,NA
"Cu",1.19084324324324,2975.71376897502,1875.21786455928,NA,NA,NA
"Cu",1.20109189189189,2972.30383623457,1872.22818984783,NA,NA,NA
"Cu",1.21134054054054,2969.60540049473,1870.50912008996,NA,NA,NA
"Cu",1.22158918918919,2967.59505232546,1869.91711472821,NA,NA,NA
"Cu",1.23183783783784,2966.14809505695,1869.35166959549,NA,NA,NA
"Cu",1.24208648648649,2964.1449308248,1867.77373961254,NA,NA,NA
"Cu",1.25233513513514,2962.17677522573,1864.95472903498,NA,NA,NA
"Cu",1.26258378378378,2960.01344375882,1862.15131003311,NA,NA,NA
"Cu",1.27283243243243,2958.35997968923,1859.45087801592,NA,NA,NA
"Cu",1.28308108108108,2956.69282013266,1857.20972937207,NA,NA,NA
"Cu",1.29332972972973,2955.27410258897,1856.71356314451,NA,NA,NA
"Cu",1.30357837837838,2953.60949507131,1856.27751285476,NA,NA,NA
"Cu",1.31382702702703,2951.32779012093,1854.48576407884,NA,NA,NA
"Cu",1.32407567567568,2949.32241223854,1852.4395536894,NA,NA,NA
"Cu",1.33432432432432,2946.80093235166,1850.88537214039,NA,NA,NA
"Cu",1.34457297297297,2944.26124372856,1848.86453188541,NA,NA,NA
"Cu",1.35482162162162,2942.25951520496,1846.91125392581,NA,NA,NA
"Cu",1.36507027027027,2940.66612177318,1845.02637527695,NA,NA,NA
"Cu",1.37531891891892,2939.72627428125,1843.82254015371,NA,NA,NA
"Cu",1.38556756756757,2938.60015724719,1843.34115727557,NA,NA,NA
"Cu",1.39581621621622,2937.38051906314,1842.87882617163,NA,NA,NA
"Cu",1.40606486486486,2936.343296486,1842.32846590807,NA,NA,NA
"Cu",1.41631351351351,2935.72071064564,1841.13923554757,NA,NA,NA
"Cu",1.42656216216216,2934.68619267157,1839.99435777677,NA,NA,NA
"Cu",1.43681081081081,2933.80686087694,1838.89650011301,NA,NA,NA
"Cu",1.44705945945946,2933.2627722673,1837.83328876097,NA,NA,NA
"Cu",1.45730810810811,2932.80378405589,1836.69875232795,NA,NA,NA
"Cu",1.46755675675676,2931.34339774669,1834.59664556309,NA,NA,NA
"Cu",1.47780540540541,2930.20148015532,1832.56200305782,NA,NA,NA
"Cu",1.48805405405405,2929.02937093421,1831.48130462348,NA,NA,NA
"Cu",1.4983027027027,2927.58371663781,1831.15904829513,NA,NA,NA
"Cu",1.50855135135135,2926.03240311019,1830.85349825311,NA,NA,NA
"Cu",1.5188,2924.52680461485,1830.55904616233,NA,NA,NA
"Cu",1.52904864864865,2923.84666130791,1830.27521834825,NA,NA,NA
"Cu",1.5392972972973,2923.1042005999,1829.67513404302,NA,NA,NA
"Cu",1.54954594594595,2922.11180623726,1829.33042127799,NA,NA,NA
"Cu",1.55979459459459,2921.34458677968,1829.15967295125,NA,NA,NA
"Cu",1.57004324324324,2920.69478709198,1828.9948610551,NA,NA,NA
"Cu",1.58029189189189,2920.25164574124,1828.83574182404,NA,NA,NA
"Cu",1.59054054054054,2919.20088395591,1828.68208300832,NA,NA,NA
"Cu",1.60078918918919,2918.33716546705,1828.46758813054,NA,NA,NA
"Cu",1.61103783783784,2917.30064396984,1827.57859564394,NA,NA,NA
"Cu",1.62128648648649,2916.84656836454,1826.44106087606,NA,NA,NA
