"fit","x","Estimate","Q2.5","Q97.5"
"no group term",0.524681081081081,2631.59425463422,2061.80725688118,3340.86333846491
"no group term",0.53492972972973,2474.83126801921,1932.75653653164,3149.16426004533
"no group term",0.545178378378378,2331.24308828089,1815.55245978101,2970.89187767759
"no group term",0.555427027027027,2199.80362922403,1708.73300758588,2810.28436932072
"no group term",0.565675675675676,2078.95095034354,1611.310099011,2662.22672527272
"no group term",0.575924324324324,1967.59789839282,1522.05458450539,2524.94737177319
"no group term",0.586172972972973,1864.58423473919,1439.83388760684,2395.94344654538
"no group term",0.596421621621622,1770.58631481461,1364.86848195919,2279.40142815736
"no group term",0.60667027027027,1683.37509028511,1295.68699572866,2169.60790806597
"no group term",0.616918918918919,1602.07001339977,1231.74709136427,2068.14940235853
"no group term",0.627167567567568,1526.64858521625,1173.11209754242,1975.85286641449
"no group term",0.637416216216216,1456.42550293766,1117.81732110101,1886.73542125014
"no group term",0.647664864864865,1391.86183596854,1068.35526038277,1803.59880782204
"no group term",0.657913513513513,1331.93737050245,1022.33055474425,1726.93832354539
"no group term",0.668162162162162,1275.62569132926,978.234088807405,1656.18003655714
"no group term",0.678410810810811,1223.16710573887,938.441133023161,1589.11534493403
"no group term",0.688659459459459,1173.62438434703,899.389811544624,1527.2269049217
"no group term",0.698908108108108,1127.63836284358,864.305940601954,1468.5232653905
"no group term",0.709156756756757,1084.45541374249,831.153624625361,1413.87900460434
"no group term",0.719405405405405,1044.25976846303,801.382197569732,1360.27248323818
"no group term",0.729654054054054,1006.64484547243,772.788610495883,1312.96144160815
"no group term",0.739902702702703,971.609357988648,745.993644879688,1267.67603547228
"no group term",0.750151351351351,938.699845303408,719.906201828909,1225.94216435537
"no group term",0.7604,907.531835936047,694.963146559867,1187.15624937264
"no group term",0.770648648648649,878.354106863199,674.036241634995,1148.62313644285
"no group term",0.780897297297297,850.909548839873,653.263299964123,1112.0424896008
"no group term",0.791145945945946,824.8193495902,634.643643184359,1077.53431289325
"no group term",0.801394594594595,799.770088536717,615.334609507839,1047.98583776743
"no group term",0.811643243243243,776.98619768061,597.379435490879,1019.17373125843
"no group term",0.821891891891892,754.901947554671,580.429532842252,991.222423242259
"no group term",0.83214054054054,734.275471227355,564.48809291728,964.913252815345
"no group term",0.842389189189189,714.596543122368,549.564513084926,938.477893137809
"no group term",0.852637837837838,696.044263552064,535.54911093103,914.007033526615
"no group term",0.862886486486486,678.346061947849,522.251899331636,891.367632172103
"no group term",0.873135135135135,662.194999874113,510.659518601055,870.653160089579
"no group term",0.883383783783784,646.621927747481,498.352209542238,849.987814982615
"no group term",0.893632432432432,631.966919733558,486.707780648693,832.31426798289
"no group term",0.903881081081081,618.018731522737,475.973083795956,814.601921729168
"no group term",0.91412972972973,604.699509898833,465.653074376977,797.529490631207
"no group term",0.924378378378378,592.145408042386,455.519296475028,782.176865628068
"no group term",0.934627027027027,579.944179038247,446.193347782393,767.044590317772
"no group term",0.944875675675676,568.198232291052,437.188719991525,752.600389709651
"no group term",0.955124324324324,557.027177472018,428.333161929578,738.41918856092
"no group term",0.965372972972973,546.778499062393,420.550521876686,725.850756566266
"no group term",0.975621621621622,536.816388861915,412.756564681465,712.290691987891
"no group term",0.98587027027027,527.17588338041,405.463883439569,700.95690800029
"no group term",0.996118918918919,517.887900816563,398.819908637037,689.524748211119
"no group term",1.00636756756757,509.061114942729,392.063444091372,677.370409760032
"no group term",1.01661621621622,500.62535737985,385.52683185512,665.679235085991
"no group term",1.02686486486486,492.761335664427,379.494274601807,655.999868404628
"no group term",1.03711351351351,484.997946243481,373.134555031254,646.225268083872
"no group term",1.04736216216216,477.899656677031,367.116741228048,636.310746255529
"no group term",1.05761081081081,471.212320868432,362.358421095859,628.477894744349
"no group term",1.06785945945946,464.633462989749,356.860832962486,620.17933294629
"no group term",1.07810810810811,458.269865930055,352.235319831285,612.501709691485
"no group term",1.08835675675676,452.032693574086,347.32900764921,605.521808074953
"no group term",1.09860540540541,446.27504049011,342.515719049056,598.901533559949
"no group term",1.10885405405405,440.654256715417,337.87982123698,591.825497900067
"no group term",1.1191027027027,435.36195771518,333.399470254615,585.76752925658
"no group term",1.12935135135135,430.070907248685,329.20608915807,578.857427800936
"no group term",1.1396,425.108478642175,325.316559640349,572.771422504548
"no group term",1.14984864864865,420.433248612276,321.516160396332,566.940661212318
"no group term",1.1600972972973,415.913491126208,317.914296110982,561.411843969507
"no group term",1.17034594594595,411.531492854341,314.187207802967,556.64095741785
"no group term",1.18059459459459,407.424183528646,310.834967538528,551.960880474092
