"herbicide","model","max_rhat","min_ess","min_ess_ratio","n_divergent","failed"
"simazine","ecxwb2p3",1.00058025878061,3761.77847942481,0.470222309928102,0,FALSE
"simazine","ecxll4",1.00132174713227,2081.49843076001,0.260187303845002,0,FALSE
"simazine","ecxll3",1.00084192090422,3831.81148553726,0.478976435692157,0,FALSE
"tebuthiuron","nec3param",1.00049606967124,3929.5697233788,0.49119621542235,0,FALSE
"tebuthiuron","nec4param",1.00089722441364,3751.04662667741,0.468880828334676,0,FALSE
"tebuthiuron","ecxexp",1.00100952878564,3943.15195586916,0.492893994483645,0,FALSE
"tebuthiuron","ecx4param",1.00068765142834,3289.01950171887,0.411127437714859,0,FALSE
"tebuthiuron","ecxwb1",1.00074490985397,3513.15393531257,0.439144241914071,0,FALSE
"tebuthiuron","ecxwb2",1.00196517589697,3197.2438305807,0.399655478822587,0,FALSE
"tebuthiuron","ecxwb1p3",1.00119612217445,4086.85660229413,0.510857075286766,0,FALSE
"tebuthiuron","ecxwb2p3",1.00017080974852,3807.68099644218,0.475960124555272,0,FALSE
"tebuthiuron","ecxll4",1.0019846752944,3629.66003876943,0.453707504846178,0,FALSE
"tebuthiuron","ecxll3",1.00090582077873,3838.08375644558,0.479760469555698,0,FALSE
