"model","value"
"X30",-1.2623063798679
"X30",-0.321398195723749
"X30",-1.25505391752201
"X30",-1.18827056890193
"X30",-0.554182783946814
"X30",-0.608200701273296
"X30",-0.803355564258803
"X30",-0.7101862427784
"X30",-0.868212569366461
"X30",-0.32609166476027
"X30",-0.543509713875914
"X30",-0.767305113878295
"X30",-1.11279993750587
"X30",-0.92490571369173
"X30",-0.715562882874029
"X30",-0.385204455817788
"X30",-0.64330951237907
"X30",-0.37602505689268
"X30",-0.826110102814242
"X30",-0.646125186438543
"X30",-0.677023376737045
"X30",-0.923011417524375
"X30",-0.685524520218184
"X30",-0.264291628192731
"X30",-0.856428134861805
"X30",-0.271755423930074
"X30",-0.942810676655625
"X30",-0.522932375720302
"X30",-0.374362269438308
"X30",-0.612431488053949
"X30",-0.569974809194371
"X30",-0.24813424343386
"X30",-0.73153902231552
"X30",0.918252919701438
"X30",-0.540408151175447
"X30",-0.686526460595598
"X30",-0.532776729575758
"X30",-0.792590205046873
"X30",-1.27688047745558
"X30",-0.283835370107672
"X30",-0.79234763614354
"X30",-0.890318477580497
"X30",-0.594387341357849
"X30",-0.327825000255912
"X30",-0.64416018289458
"X30",-0.80246490380737
"X30",-0.656548236125995
"X30",-0.619311084867192
"X30",-0.647198558238624
"X30",-0.917063338508616
"X30",-0.674912867597801
"X30",-0.980182709997482
"X30",-0.699999260225202
"X30",-0.724493288619642
"X30",-0.55036053458258
"X30",-1.24282646230806
"X30",-0.395340193327524
"X30",-0.39071745387904
"X30",-0.6428220692981
"X30",-1.28672353416397
"X30",-0.561576070843078
"X30",-0.984992063916776
"X30",-1.31088804928755
"X30",-1.75806740339973
"X30",-0.472906904937143
"X30",-0.535404390689658
"X30",-0.903450131468601
"X30",-0.787831900944891
"X30",-0.866888458654166
"X30",-0.886080052128409
"X30",-1.03403135451618
"X30",-0.79960531939987
"X30",-0.437875567230609
"X30",-0.745062389820301
"X30",-1.6492099104024
"X30",-0.322538917515323
"X30",-1.39575443079931
"X30",-0.472699971028857
"X30",-0.591023390477596
"X30",-0.226910640731309
"X30",-0.358375125606179
"X30",-1.29522233916202
"X30",-0.651910123374057
"X30",-0.540993379359583
"X30",-0.814329359161533
"X30",-0.605585349044042
"X30",-0.444910305232276
"X30",-0.563681163761473
"X30",-0.611078702221074
"X30",-0.507447655101087
"X30",-0.598971211155709
"X30",-0.780511783893509
"X30",-0.305942290127814
"X30",-0.295764129167526
"X30",-0.65779407866561
"X30",-0.474244758384562
"X30",-1.09043285201081
"X30",-0.617911993417904
"X30",-0.991456450094905
"X30",-1.26571433311498
"X30",-0.551641321506604
"X30",-0.463081757722011
"X30",-0.549350321741821
"X30",-1.11446394092214
"X30",-0.618263179628052
"X30",-0.304077116616197
"X30",-0.480916393578279
"X30",-1.78580651899943
"X30",-0.492519791545044
"X30",-1.28726804419572
"X30",-0.786203080685857
"X30",-0.993671904273993
"X30",-0.541347483270317
"X30",-0.956250354080466
"X30",-0.721702114746384
"X30",-0.66235415002671
"X30",-1.83258146374831
"X30",-0.630994893460989
"X30",-0.695847740639542
"X30",-0.746736560041229
"X30",-1.20854074044298
"X30",-0.798593366463993
"X30",-0.613829990082342
"X30",-0.308780652701722
"X30",-0.909026016294648
"X30",-0.555317824686447
"X30",-1.83258146374831
"X30",-0.428769590084101
"X30",-1.44884542727301
"X30",-1.01647452852973
"X30",-0.597231597380027
"X30",-0.623559267328562
"X30",-0.3061892041114
"X30",-0.679151653440919
"X30",-0.957053599034248
"X30",-0.721711795124334
"X30",-0.175518534780215
"X30",-0.540680808249176
