"conc","rlu_cens","plate"
0.3216656,71823,"Cu 1Oct24 Batch6_A2"
0.3216656,161247,"Cu 1Oct24 Batch6_A2"
0.6424688,10263,"Cu 1Oct24 Batch6_A2"
0.6424688,1812,"Cu 1Oct24 Batch6_A2"
0.6424688,1671,"Cu 1Oct24 Batch6_A2"
0.6424688,3029,"Cu 1Oct24 Batch6_A2"
1.2818,1414,"Cu 1Oct24 Batch6_A2"
1.2818,1648,"Cu 1Oct24 Batch6_A2"
1.2818,572,"Cu 1Oct24 Batch6_A2"
1.2818,1546,"Cu 1Oct24 Batch6_A2"
2.5616,3,"Cu 1Oct24 Batch6_A2"
2.5616,3,"Cu 1Oct24 Batch6_A2"
2.5616,3,"Cu 1Oct24 Batch6_A2"
2.5616,3,"Cu 1Oct24 Batch6_A2"
5.1212,3,"Cu 1Oct24 Batch6_A2"
5.1212,3,"Cu 1Oct24 Batch6_A2"
5.1212,3,"Cu 1Oct24 Batch6_A2"
5.1212,3,"Cu 1Oct24 Batch6_A2"
10.2404,3,"Cu 1Oct24 Batch6_A2"
10.2404,88,"Cu 1Oct24 Batch6_A2"
10.2404,3,"Cu 1Oct24 Batch6_A2"
10.2404,236,"Cu 1Oct24 Batch6_A2"
0.002,918663,"Cu 23Apr24 Rep10B"
0.002,1033890,"Cu 23Apr24 Rep10B"
0.002,864649,"Cu 23Apr24 Rep10B"
0.002,901835,"Cu 23Apr24 Rep10B"
0.0099632,926930,"Cu 23Apr24 Rep10B"
0.0099632,953303,"Cu 23Apr24 Rep10B"
0.0099632,796158,"Cu 23Apr24 Rep10B"
0.0099632,821183,"Cu 23Apr24 Rep10B"
0.017484,897233,"Cu 23Apr24 Rep10B"
0.017484,917001,"Cu 23Apr24 Rep10B"
0.017484,760704,"Cu 23Apr24 Rep10B"
0.017484,829298,"Cu 23Apr24 Rep10B"
0.032968,784333,"Cu 23Apr24 Rep10B"
0.032968,748894,"Cu 23Apr24 Rep10B"
0.032968,769040,"Cu 23Apr24 Rep10B"
0.032968,812335,"Cu 23Apr24 Rep10B"
0.063936,503471,"Cu 23Apr24 Rep10B"
0.063936,557466,"Cu 23Apr24 Rep10B"
0.063936,626729,"Cu 23Apr24 Rep10B"
0.063936,605293,"Cu 23Apr24 Rep10B"
0.1263144,88843,"Cu 23Apr24 Rep10B"
0.1263144,130835,"Cu 23Apr24 Rep10B"
0.1263144,88833,"Cu 23Apr24 Rep10B"
0.1263144,79586,"Cu 23Apr24 Rep10B"
0.2510712,425,"Cu 23Apr24 Rep10B"
0.2510712,2537,"Cu 23Apr24 Rep10B"
0.2510712,3621,"Cu 23Apr24 Rep10B"
0.2510712,3056,"Cu 23Apr24 Rep10B"
0.4997,1575,"Cu 23Apr24 Rep10B"
0.4997,3505,"Cu 23Apr24 Rep10B"
0.4997,703,"Cu 23Apr24 Rep10B"
0.4997,2369,"Cu 23Apr24 Rep10B"
0.9974,41,"Cu 23Apr24 Rep10B"
0.9974,171,"Cu 23Apr24 Rep10B"
0.9974,68,"Cu 23Apr24 Rep10B"
0.9974,753,"Cu 23Apr24 Rep10B"
1.9928,302,"Cu 23Apr24 Rep10B"
1.9928,41,"Cu 23Apr24 Rep10B"
1.9928,41,"Cu 23Apr24 Rep10B"
1.9928,444,"Cu 23Apr24 Rep10B"
3.9836,982,"Cu 23Apr24 Rep10B"
3.9836,219,"Cu 23Apr24 Rep10B"
3.9836,141,"Cu 23Apr24 Rep10B"
3.9836,490,"Cu 23Apr24 Rep10B"
0.002,572961,"Cu 23Apr24 Rep6B"
0.002,564912,"Cu 23Apr24 Rep6B"
0.002,546221,"Cu 23Apr24 Rep6B"
0.002,538391,"Cu 23Apr24 Rep6B"
0.0099632,503496,"Cu 23Apr24 Rep6B"
0.0099632,542275,"Cu 23Apr24 Rep6B"
0.0099632,467910,"Cu 23Apr24 Rep6B"
0.0099632,492532,"Cu 23Apr24 Rep6B"
0.017484,538745,"Cu 23Apr24 Rep6B"
0.017484,504137,"Cu 23Apr24 Rep6B"
0.017484,499119,"Cu 23Apr24 Rep6B"
0.017484,479414,"Cu 23Apr24 Rep6B"
0.032968,438750,"Cu 23Apr24 Rep6B"
0.032968,462853,"Cu 23Apr24 Rep6B"
0.032968,451852,"Cu 23Apr24 Rep6B"
0.032968,421143,"Cu 23Apr24 Rep6B"
0.063936,341504,"Cu 23Apr24 Rep6B"
0.063936,398126,"Cu 23Apr24 Rep6B"
