"model","value","concentration"
"ametryn",-1.61940759672775,0.198015969652831
"ametryn",-1.55240981158015,0.211737111989162
"ametryn",-1.09793204065419,0.333560159811692
"ametryn",-1.84484071472995,0.15805049400036
"ametryn",-1.58104642562248,0.205759673317247
"ametryn",-1.33091962801402,0.26423415240327
"ametryn",-1.55359298312531,0.21148673880962
"ametryn",-1.92175058472963,0.146350538732115
"ametryn",-1.16345367501106,0.312405368954269
"ametryn",-1.75043754789557,0.173697925659109
"ametryn",-1.62273199299584,0.197358779088476
"ametryn",-1.6457149195953,0.192874623644058
"ametryn",-1.8062277339113,0.164272649617245
"ametryn",-1.42593516617709,0.240283652962099
"ametryn",-1.37704937940379,0.252321962139697
"ametryn",-1.09725877821397,0.333784808954276
"ametryn",-1.68427775927302,0.185578415855812
"ametryn",-1.74907647012806,0.173934503007548
"ametryn",-1.66709102843807,0.188795468256395
"ametryn",-1.53436141644386,0.215593321570779
"ametryn",-1.39519692219443,0.247784237346819
"ametryn",-1.99203626618625,0.136417360376203
"ametryn",-1.81440477746885,0.16293486203383
"ametryn",-1.728979939388,0.177465343079289
"ametryn",-0.51359483,0.598340774688447
"ametryn",-1.68519178437826,0.185408870021107
"ametryn",-1.68377896460539,0.185671004469501
"ametryn",-1.66524658485094,0.189144012183094
"ametryn",-1.5629607796371,0.209514824740898
"ametryn",-1.78125111292932,0.168427293830407
"ametryn",-1.93475128692621,0.144460193494653
"ametryn",-1.5093679440642,0.221049649557707
"ametryn",-1.73931055639041,0.175641453760418
"ametryn",-1.62454602535544,0.197001088406082
"ametryn",-1.64909312980226,0.192224151955463
"ametryn",-1.55342416430987,0.21152244476418
"ametryn",-1.58909897464291,0.204109436684381
"ametryn",-1.707561335764,0.181307401806504
"ametryn",-1.83733426979673,0.159241355305893
"ametryn",-1.56920232600478,0.208211200794309
"ametryn",-1.51476559535969,0.219859714945478
"ametryn",-1.57844351769364,0.206295944431753
"ametryn",-1.75141634451868,0.173527993893917
"ametryn",-1.87739229633567,0.152988534801467
"ametryn",-0.945676391819707,0.388416760111062
"ametryn",-1.6126932794754,0.199349985184183
"ametryn",-1.74424636926367,0.174776656406525
"ametryn",-0.72827763,0.482739730893613
"ametryn",-1.5674919010281,0.208567635172808
"ametryn",-1.55307367527321,0.211596594055577
"ametryn",-1.44735782366628,0.235190883658012
"ametryn",-1.47658275896426,0.228416911872797
"ametryn",-2.14982880505202,0.116504100979866
"ametryn",-1.33889840802381,0.262134274601686
"ametryn",-1.82442823264815,0.161309849472723
"ametryn",-1.46407581347531,0.231291649357866
"ametryn",-1.62241262143272,0.197421819936439
"ametryn",-1.5322123060119,0.216057153661895
"ametryn",-1.35592402044166,0.257709055964449
"ametryn",-1.83169506982074,0.160141885902523
"ametryn",-1.02929216508254,0.357259752018366
"ametryn",-1.80583600965624,0.164337011803836
"ametryn",-1.05835248360003,0.34702707241205
"ametryn",-1.03301802423407,0.355931129169633
"ametryn",-1.92213790481301,0.146293865205357
"ametryn",-1.67587588188167,0.187144191468809
"ametryn",-1.57719198935489,0.206554291282861
"ametryn",-1.92007188971783,0.146596422976044
"ametryn",-0.45586455,0.633899692997243
"ametryn",-2.0013309064609,0.135155284441115
"ametryn",-1.74275111183555,0.175038187980066
"ametryn",-1.96013264609331,0.140839737840946
"ametryn",-1.29274100741732,0.274517296958821
"ametryn",-1.51208874275196,0.220449035406873
"ametryn",-1.84654148225359,0.157781915312765
"ametryn",-1.59767023288419,0.202367438217296
"ametryn",-1.14941776984544,0.316821178533303
"ametryn",-1.08314379096147,0.338529584726501
"ametryn",-1.68648268948635,0.185169679183265
"ametryn",-1.56514616020465,0.209057455059732
"ametryn",-1.79221469554411,0.166590812880621
"ametryn",-1.65425787488921,0.191233922553439
"ametryn",-1.65372380216106,0.191336082654207
