"model","value"
"Cu",0.0679590497162059
"Cu",0.072578773352541
"Cu",0.0795834962809994
"Cu",0.08286234329102
"Cu",0.059823970111959
"Cu",0.0812574777354968
"Cu",0.0825042036028094
"Cu",0.0695354513883445
"Cu",0.0806047436470726
"Cu",0.0559243445991577
"Cu",0.0762382910789632
"Cu",0.074829738570398
"Cu",0.0657039291199749
"Cu",0.0753113140400218
"Cu",0.0614937336878693
"Cu",0.0860971412673173
"Cu",0.0695771859561239
"Cu",0.0747703987539777
"Cu",0.066182671211319
"Cu",0.0705398438979119
"Cu",0.0800381041142224
"Cu",0.0789410085774884
"Cu",0.089612828057137
"Cu",0.0680064982371696
"Cu",0.0912121678210796
"Cu",0.0931191830329829
"Cu",0.0785520232442788
"Cu",0.0766481070182112
"Cu",0.0680783298283511
"Cu",0.0771310632011123
"Cu",0.0763506227278628
"Cu",0.0740148524180304
"Cu",0.0721040436001775
"Cu",0.085900564051866
"Cu",0.0775430011224169
"Cu",0.0750347891255498
"Cu",0.0529733475207319
"Cu",0.0720134130260108
"Cu",0.0618235592350414
"Cu",0.0786076554637524
"Cu",0.066912019975139
"Cu",0.071918574601115
"Cu",0.048486155497289
"Cu",0.0821483165553994
"Cu",0.0625207994766601
"Cu",0.002
"Cu",0.0816112864118413
"Cu",0.0595070493747084
"Cu",0.0671242053997341
"Cu",0.0703569391162997
"Cu",0.0842213507428131
"Cu",0.0759359393672506
"Cu",0.0688938621622516
"Cu",0.0809799172751301
"Cu",0.0659597455866243
"Cu",0.0761032118361039
"Cu",0.0733383993133871
"Cu",0.0863448731619216
"Cu",0.0826102497356093
"Cu",0.0696602538917642
"Cu",0.002
"Cu",0.0915332441825923
"Cu",0.0712140651990558
"Cu",0.0760187026310695
"Cu",0.0783443741414549
"Cu",0.0742757596951018
"Cu",0.0672245061884737
"Cu",0.0835814792886026
"Cu",0.070403975237252
"Cu",0.0748006215066457
"Cu",0.0911394985166383
"Cu",0.081200799885436
"Cu",0.0903128777707911
"Cu",0.0793676583407801
"Cu",0.0706456250832293
"Cu",0.002
"Cu",0.0774583339679731
"Cu",0.0842624495882016
"Cu",0.0834926106880509
"Cu",0.0834861685782156
"Cu",0.0649208589141503
"Cu",0.0688707467303557
"Cu",0.0691390056767327
"Cu",0.0661499536042899
"Cu",0.0645555536135496
"Cu",0.0730291245277178
"Cu",0.08475578385013
"Cu",0.0679326597185254
"Cu",0.0699902540765596
"Cu",0.0751924199088575
"Cu",0.0686055551874506
"Cu",0.0553471419497274
"Cu",0.0726628003466731
"Cu",0.0764390739722105
"Cu",0.0611404989320307
"Cu",0.0613564138699643
"Cu",0.0702793202848151
"Cu",0.0698851433779811
"Cu",0.0826180668096132
"Cu",0.0500125588518006
"Cu",0.0828411057395996
"Cu",0.0877404713278241
"Cu",0.0883471743917198
"Cu",0.0460949584559447
"Cu",0.0690626519046408
"Cu",0.0817309999938334
"Cu",0.0920145432583413
"Cu",0.0584852489381935
"Cu",0.0793326514340065
"Cu",0.0886440470798675
"Cu",0.0786684617021948
"Cu",0.0864336172576454
"Cu",0.0813282276534142
"Cu",0.0737689553169535
"Cu",0.0818753758722263
"Cu",0.0782443951564012
"Cu",0.0708970349873808
"Cu",0.0741095714074077
"Cu",0.0743601603000409
"Cu",0.0756361106120783
"Cu",0.0866947177503729
"Cu",0.0775106133364895
"Cu",0.0767869010949424
"Cu",0.0680312679794207
