"model","concentration","Estimate","Q2.5","Q97.5"
"nec3param",0.913368673955847,0.460653380066569,0.430250193690501,0.489520212097272
"nec3param",0.920718170869093,0.457653759979871,0.427625149703191,0.486242022809351
"nec3param",0.928126806119814,0.45472217642609,0.424970158753403,0.483010427435565
"nec3param",0.935595055569552,0.451783286118887,0.422260874486301,0.479846425439977
"nec3param",0.943123398908914,0.448863201343259,0.419691064488093,0.476674912073449
"nec3param",0.950712319688375,0.445979053498593,0.4171389295412,0.473528974133062
"nec3param",0.958362305349338,0.443123280231256,0.414507675390051,0.470403949814341
"nec3param",0.966073847255446,0.440258277439787,0.411988147318568,0.467275107724605
"nec3param",0.97384744072414,0.437410229819757,0.409465429030676,0.464174066936114
"nec3param",0.981683585058472,0.434622569606093,0.407014564031759,0.461131658542854
"nec3param",0.989582783579179,0.43180038870369,0.404523596123099,0.458059545244532
"nec3param",0.997545543657011,0.429017967735091,0.401991778116658,0.454968298421603
"nec3param",1.00557237674532,0.426246997118032,0.399443767902094,0.451947627153625
"nec3param",1.0136637984129,0.423482328329199,0.39691485905963,0.448926507201462
"nec3param",1.02182032837712,0.420747532414088,0.39447465630216,0.445939653399672
"nec3param",1.03004249053731,0.418012015629218,0.391994372832453,0.442973037035244
"nec3param",1.03833081300838,0.4153220926252,0.389515001510209,0.440063615834275
"nec3param",1.04668582815476,0.412644891934569,0.387070680199148,0.43713461449346
"nec3param",1.05510807262462,0.409991102314056,0.384656698306356,0.434318351437168
"nec3param",1.06359808738428,0.40736502453395,0.382342811413886,0.431437743419121
"nec3param",1.07215641775301,0.404747381378076,0.380037284350815,0.42855632653967
"nec3param",1.08078361343804,0.402150100239794,0.377765889339624,0.425781539142046
"nec3param",1.08948022856986,0.399570144989019,0.375492743425892,0.422984341909794
"nec3param",1.0982468217378,0.396979719806511,0.373163693558359,0.420210428291176
"nec3param",1.10708395602596,0.394424328064798,0.370790987152016,0.417361772959268
"nec3param",1.11599219904932,0.391873106759489,0.368549527315,0.414556523969264
"nec3param",1.12497212299021,0.389371485195993,0.366239893450113,0.411817689414224
"nec3param",1.13402430463511,0.38686299195553,0.363878166463412,0.409100200735819
"nec3param",1.14314932541162,0.384360254076568,0.36161199416611,0.406423923994265
"nec3param",1.15234777142587,0.381877022794772,0.35934937758065,0.403769372829129
