"","log_x","plateRep","y"
"134",-2.407945609,"Lum_27C_rep4_qtoxB",0.854850872421
"135",-2.407945609,"Lum_27C_rep4_qtoxB",0.918830993256
"136",-2.407945609,"Lum_27C_rep4_qtoxB",0.96232015656
"137",-1.714798428,"Lum_27C_rep4_qtoxB",0.878301507312
"138",-1.714798428,"Lum_27C_rep4_qtoxB",0.898909292898
"139",-1.714798428,"Lum_27C_rep4_qtoxB",0.985080122811
"140",-1.714798428,"Lum_27C_rep4_qtoxB",0.921497452128
"141",-1.049822124,"Lum_27C_rep4_qtoxB",0.902984576535
"142",-1.049822124,"Lum_27C_rep4_qtoxB",0.905317728048
"143",-1.049822124,"Lum_27C_rep4_qtoxB",0.849000240909
"144",-1.049822124,"Lum_27C_rep4_qtoxB",0.804771158265
"145",-0.356674944,"Lum_27C_rep4_qtoxB",0.922456139481
"146",-0.356674944,"Lum_27C_rep4_qtoxB",0.937646250165
"147",-0.356674944,"Lum_27C_rep4_qtoxB",0.904962658473
"148",-0.356674944,"Lum_27C_rep4_qtoxB",0.921056478543
"149",0.336472237,"Lum_27C_rep4_qtoxB",0.999
"150",0.336472237,"Lum_27C_rep4_qtoxB",0.910368880839
"151",0.336472237,"Lum_27C_rep4_qtoxB",0.905746102245
"152",0.336472237,"Lum_27C_rep4_qtoxB",0.97664664573
"153",1.033184483,"Lum_27C_rep4_qtoxB",0.729904143222
"154",1.033184483,"Lum_27C_rep4_qtoxB",0.779115655449
"155",1.033184483,"Lum_27C_rep4_qtoxB",0.846928236987
"156",1.033184483,"Lum_27C_rep4_qtoxB",0.761295739203
"157",1.728109442,"Lum_27C_rep4_qtoxB",0.564149598687
"158",1.728109442,"Lum_27C_rep4_qtoxB",0.551971853622
"159",1.728109442,"Lum_27C_rep4_qtoxB",0.577527707187
"160",1.728109442,"Lum_27C_rep4_qtoxB",0.527305965201
"161",2.420368129,"Lum_27C_rep4_qtoxB",0.363808975851
"162",2.420368129,"Lum_27C_rep4_qtoxB",0.379743587289
"163",2.420368129,"Lum_27C_rep4_qtoxB",0.409528206855
"164",2.420368129,"Lum_27C_rep4_qtoxB",0.459501400638
"165",3.113515309,"Lum_27C_rep4_qtoxB",0.264360830544
"166",3.113515309,"Lum_27C_rep4_qtoxB",0.26051806116
"167",3.113515309,"Lum_27C_rep4_qtoxB",0.222392740644
"168",3.113515309,"Lum_27C_rep4_qtoxB",0.250269146334
"169",3.80666249,"Lum_27C_rep4_qtoxB",0.190348274187
"170",3.80666249,"Lum_27C_rep4_qtoxB",0.180303238278
"171",3.80666249,"Lum_27C_rep4_qtoxB",0.153393537915
"172",3.80666249,"Lum_27C_rep4_qtoxB",0.155218138488
"173",4.49980967,"Lum_27C_rep4_qtoxB",0.202485930381
"174",4.49980967,"Lum_27C_rep4_qtoxB",0.16990198794
"175",4.49980967,"Lum_27C_rep4_qtoxB",0.16531700751
"176",4.49980967,"Lum_27C_rep4_qtoxB",0.139440444975
